time,Frequency
2018-02-11,16
2018-02-18,18
2018-02-25,27
2018-03-04,20
2018-03-11,14
2018-03-18,23
2018-03-25,19
2018-04-01,27
2018-04-08,33
2018-04-15,19
2018-04-22,19
2018-04-29,26
2018-05-06,13
2018-05-13,24
2018-05-20,17
2018-05-27,22
2018-06-03,23
2018-06-10,28
2018-06-17,16
2018-06-24,18
2018-07-01,18
2018-07-08,10
2018-07-15,8
2018-07-22,16
2018-07-29,16
2018-08-05,12
2018-08-12,12
2018-08-19,19
2018-08-26,18
2018-09-02,24
2018-09-09,17
2018-09-16,42
2018-09-23,51
2018-09-30,110
2018-10-07,121
2018-10-14,118
2018-10-21,121
2018-10-28,123
2018-11-04,106
2018-11-11,96
2018-11-18,103
2018-11-25,95
2018-12-02,93
2018-12-09,121
2018-12-16,88
2018-12-23,97
2018-12-30,100
2019-01-06,90
2019-01-13,91
2019-01-20,108
2019-01-27,124
2019-02-03,127
2019-02-10,182
2019-02-17,183
2019-02-24,169
2019-03-03,195
2019-03-10,157
2019-03-17,189
2019-03-24,354
2019-03-31,305
2019-04-07,421
2019-04-14,466
2019-04-21,375
2019-04-28,426
2019-05-05,343
2019-05-12,326
2019-05-19,355
2019-05-26,311
2019-06-02,279
2019-06-09,243
2019-06-16,268
2019-06-23,264
2019-06-30,244
2019-07-07,238
2019-07-14,215
2019-07-21,215
2019-07-28,197
2019-08-04,224
2019-08-11,196
2019-08-18,238
2019-08-25,197
2019-09-01,246
2019-09-08,233
2019-09-15,234
2019-09-22,216
2019-09-29,227
2019-10-06,233
2019-10-13,216
2019-10-20,214
2019-10-27,249
2019-11-03,195
2019-11-10,200
2019-11-17,185
2019-11-24,238
2019-12-01,309
2019-12-08,269
2019-12-15,217
2019-12-22,208
2019-12-29,161
2020-01-05,159
2020-01-12,174
2020-01-19,207
2020-01-26,194
2020-02-02,170
2020-02-09,196
2020-02-16,179
2020-02-23,206
2020-03-01,176
2020-03-08,182
2020-03-15,228
2020-03-22,248
2020-03-29,297
2020-04-05,257
2020-04-12,309
2020-04-19,313
2020-04-26,322
2020-05-03,313
2020-05-10,286
2020-05-17,287
2020-05-24,374
2020-05-31,422
2020-06-07,493
2020-06-14,450
2020-06-21,429
2020-06-28,506
2020-07-05,505
2020-07-12,546
2020-07-19,503
2020-07-26,585
2020-08-02,510
2020-08-09,502
2020-08-16,621
2020-08-23,588
2020-08-30,585
2020-09-06,573
2020-09-13,452
2020-09-20,456
2020-09-27,581
2020-10-04,501
2020-10-11,518
2020-10-18,510
2020-10-25,565
2020-11-01,678
2020-11-08,662
2020-11-15,647
2020-11-22,655
2020-11-29,598
2020-12-06,719
2020-12-13,753
2020-12-20,502
2020-12-27,496
2021-01-03,496
2021-01-10,584
2021-01-17,656
2021-01-24,713
2021-01-31,837
2021-02-07,839
2021-02-14,772
2021-02-21,678
2021-02-28,687
2021-03-07,680
2021-03-14,716
2021-03-21,724
2021-03-28,803
2021-04-04,679
2021-04-11,749
2021-04-18,484
