time,Frequency
03/14,2
09/14,1
03/15,1
03/17,1
09/18,390
10/18,1132
11/18,925
12/18,818
01/19,716
02/19,870
03/19,1241
04/19,2137
05/19,1574
06/19,1283
07/19,1156
08/19,1224
09/19,1272
10/19,1300
11/19,1324
12/19,1283
01/20,1023
02/20,1050
03/20,1374
04/20,1648
05/20,2021
06/20,2684
07/20,3008
08/20,3002
09/20,2537
10/20,2816
11/20,2985
12/20,3497
01/21,3896
02/21,3766
03/21,4068
04/21,1680
